,address,has_ens,ens_count,has_defi_transactions,count_defi_transactions,had_activity_before_december_2022,count_activity_before_december_2022,had_activity_after_december_2022,count_activity_after_december_2022
9704,0xcdd4ba1cf9bc283dcf7e96de3dcf8fa9bab05500,NO,0,NO,0,no,0,no,0
9716,0xf785d5e00703cbf95aedbed63ad2fe480a9c1ebc,NO,0,NO,0,no,0,no,0
9745,0x5a071ba1181e280845eec8fe4f8d2bf7054bf319,NO,0,NO,0,no,0,no,0
9787,0xeeb9f44343534257c0de8d72b68150efad85a13d,NO,0,NO,0,no,0,no,0
9833,0x60ec92ab5f37a29ee72d0ba9200e429af8754940,NO,0,NO,0,no,0,no,0
9873,0x4695df666e2e1894bd5fd638cd962e7a55367ede,NO,0,NO,0,no,0,no,0
9921,0x609ad3ae04158c7a117c2cf26a7daa576986e0b3,NO,0,NO,0,no,0,no,0
9955,0xcf3b64b263e8f838c7ad677455db70c400e29742,NO,0,NO,0,no,0,no,0
9997,0xd18d73683b57b3ea30477038a132223e518faea0,NO,0,NO,0,no,0,no,0
10011,0x002ffc401494c4b65843e5981701c87579f28405,NO,0,NO,0,no,0,no,0
10023,0x4c3b6ddb6a34a308083e90ba44638e582a29bf29,NO,0,NO,0,no,0,no,0
10034,0xd05a98152cfe5ac8a9b38cff60b2388a72815cb1,NO,0,NO,0,no,0,no,0
10037,0x4b72a038774509e16edd4e4995b16ba269b874aa,NO,0,NO,0,no,0,no,0
10138,0x0ea5ae4782918baf7d496a10b9f48a20055c52e5,NO,0,NO,0,no,0,no,0
10149,0x1ba1a96d5190ce39276d18dd54d21a6b786b4b2e,NO,0,NO,0,no,0,no,0
10154,0x2f30b39a4ca4e05eb834c717ce1076fbafc8f0f2,NO,0,NO,0,no,0,no,0
10193,0x654a5d2ceff665ea34a99af5ed84c0b7633cdbf4,NO,0,NO,0,no,0,no,0
10230,0x89477e26fb2d49fbc70b9e04be0052be8671da00,NO,0,NO,0,no,0,no,0
10232,0xdf8a08357f627e2fd16fc8dc182e84dde592159e,NO,0,NO,0,no,0,no,0
10280,0xc23c5d179c716c3d820ad2684c8e71d133301f37,NO,0,NO,0,no,0,no,0
10286,0x7627a243085acc10647f0e8f909f069dc4a288c6,NO,0,NO,0,no,0,no,0
10296,0x30a5e9bb06461055cbd1533292426dab0ee4fbb3,NO,0,NO,0,no,0,no,0
10326,0x01e7d2d1f4b0ef644dffdf97004a82ecf554e8b3,NO,0,NO,0,no,0,no,0
10348,0x92938cadd8c49d785e3439f23f82235e09130a23,NO,0,NO,0,no,0,no,0
10366,0x525c44c952197781f6abf9100e43a277115d075b,NO,0,NO,0,no,0,no,0
10380,0xe3887945651476c7c8d3f98ad1dec2f54e9dc38c,NO,0,NO,0,no,0,no,0
10423,0x109507dfa6b36f99c0c42ccce2fc300a6f5b617d,NO,0,NO,0,no,0,no,0
10501,0xa88f0da60241cfcf3c5b5ca080a670662e1a3a17,NO,0,NO,0,no,0,no,0
10515,0x8e74ae785c375e81e433777b6b53a0eb4bd67e6b,NO,0,NO,0,no,0,no,0
10539,0x4e292bd803dd765194bf8e79275d1a8541ce03f5,NO,0,NO,0,no,0,no,0
10542,0xbcf868e590f39d6b03c9e190083e1baf0151885b,NO,0,NO,0,no,0,no,0
10584,0xf8ac8a410e943a4ed777f94eb62ab5f2b8fe77b5,NO,0,NO,0,no,0,no,0
10619,0xb283d0377762976c8ce6f03ee30af01048593a50,NO,0,NO,0,no,0,no,0
10626,0x6ff539291354bf6b966641985c93b9ad803d1cc8,NO,0,NO,0,no,0,no,0
10642,0x8f9ef18aefdeb19b522a2579526b2e352b49e7df,NO,0,NO,0,no,0,no,0
10659,0x31bc123129471d583a0f1d2da19d089a4d1866b6,NO,0,NO,0,no,0,no,0
10678,0x9be3ae64dbdb3b5727f2447e2260f8e431e3f134,NO,0,NO,0,no,0,no,0
10722,0xa2af55b949acf16d56b7764493b9bc35f9f3537c,NO,0,NO,0,no,0,no,0
10746,0x50900495b29e8301e477163d5ffd925178805c5b,NO,0,NO,0,no,0,no,0
10842,0x4b689cdb6f968f34eadab5b00a6b4afb3f90ce69,NO,0,NO,0,no,0,no,0
10955,0x4620eb2225b7caf9fdf99ba778fb0ee5e4da48a0,NO,0,NO,0,no,0,no,0
10981,0x448e1e9baed2fee6c3e2db6a84ffd2014b203069,NO,0,NO,0,no,0,no,0
10983,0x5fcccc9a43bf85cb1fdc6668934c095f021717e8,NO,0,NO,0,no,0,no,0
10985,0xbd3bd63e46192ff935dcedf420d026e107127659,NO,0,NO,0,no,0,no,0
11023,0x8b83b7028b4d79f18aea106b2f8a0dc7c35ca122,NO,0,NO,0,no,0,no,0
11059,0xeccd9cabe1b62543b922fa3f7ea21d207bfb6bd1,NO,0,NO,0,no,0,no,0
11104,0x33bcbe1438566f0314fdfa6be5ab140022263620,NO,0,NO,0,no,0,no,0
11175,0xadf9728e0c4391f073fc70a20869b2daa258a65f,NO,0,NO,0,no,0,no,0
11217,0x9d637fac06d5b9017a818b669d30403831deaced,NO,0,NO,0,no,0,no,0
